"Sex","AGE","Thrown Out","Injury Extent","Seat Belt"
"Female","038","Unknown","Treated at Hospital","Not Worn"
"Male","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","015","Unknown","By Private","Not Worn"
"Male","042","Thrown Out","By Private","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","018","Thrown Out","Admitted to Hospital","Not Worn"
"Male","061","Thrown Out","Treated at Hospital","Not Worn"
"Female","070","Unknown","By Private","Not Worn"
"Male","072","Unknown","Fatal","Not Worn"
"Female","XXX","Unknown","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","By Private","Not Worn"
"Male","060","Thrown Out","Fatal","Not Worn"
"Male","068","Thrown Out","By Private","Not Worn"
"Male","054","Thrown Out","Admitted to Hospital","Not Worn"
"Female","061","Thrown Out","Treated at Hospital","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Thrown Out","Admitted to Hospital","Not Worn"
"Male","041","Thrown Out","Admitted to Hospital","Not Worn"
"Female","020","Unknown","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","Treated at Hospital","Not Worn"
"Female","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","033","Unknown","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Male","018","Thrown Out","Fatal","Not Worn"
"Male","031","Thrown Out","Admitted to Hospital","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","By Private","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","045","Thrown Out","Treated at Hospital","Not Worn"
"Male","049","Thrown Out","Fatal","Not Worn"
"Female","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","023","Unknown","By Private","Not Worn"
"Female","069","Thrown Out","Admitted to Hospital","Not Worn"
"Male","051","Thrown Out","By Private","Not Worn"
"Male","011","Unknown","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","064","Unknown","Treated at Hospital","Not Worn"
"Female","019","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","012","Thrown Out","Treated at Hospital","Not Worn"
"Female","034","Unknown","Treated at Hospital","Not Worn"
"Male","071","Unknown","Fatal","Not Worn"
"Female","070","Unknown","Admitted to Hospital","Not Worn"
"Male","018","Unknown","By Private","Not Worn"
"Male","021","Thrown Out","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","021","Thrown Out","Admitted to Hospital","Not Worn"
"Male","046","Thrown Out","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Admitted to Hospital","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","041","Thrown Out","Admitted to Hospital","Not Worn"
"Female","040","Thrown Out","Treated at Hospital","Not Worn"
"Female","082","Unknown","Fatal","Not Worn"
"Male","014","Unknown","Admitted to Hospital","Not Worn"
"Male","072","Thrown Out","Admitted to Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Applicable"
"Male","057","Unknown","Admitted to Hospital","Not Worn"
"Female","005","Unknown","Treated at Hospital","Not Worn"
"Male","023","Thrown Out","Admitted to Hospital","Not Worn"
"Female","047","Unknown","Treated at Hospital","Not Worn"
"Male","060","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Female","033","Thrown Out","By Private","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","084","Unknown","By Private","Not Worn"
"Male","021","Unknown","Treated at Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","061","Thrown Out","Admitted to Hospital","Not Worn"
"Male","021","Thrown Out","Admitted to Hospital","Not Worn"
"Male","035","Thrown Out","Treated at Hospital","Not Worn"
"Male","061","Thrown Out","Treated at Hospital","Not Worn"
"Male","033","Thrown Out","Admitted to Hospital","Not Worn"
"Female","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","XXX","Thrown Out","By Private","Not Worn"
"Male","020","Thrown Out","Admitted to Hospital","Not Worn"
"Female","020","Thrown Out","Admitted to Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","By Private","Not Worn"
"Male","034","Thrown Out","Admitted to Hospital","Not Worn"
"Female","044","Not Thrown Out","By Private","Fitted - Not Worn"
"Male","019","Thrown Out","By Private","Not Worn"
"Female","026","Thrown Out","Treated at Hospital","Not Worn"
"Female","022","Thrown Out","Treated at Hospital","Not Worn"
"Female","046","Unknown","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","Admitted to Hospital","Not Worn"
"Male","067","Unknown","Fatal","Not Worn"
"Female","046","Unknown","Treated at Hospital","Not Worn"
"Female","026","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","064","Thrown Out","Treated at Hospital","Not Worn"
"Female","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Female","034","Thrown Out","Admitted to Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Female","077","Unknown","Fatal","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Female","017","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Female","018","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","039","Thrown Out","Treated at Hospital","Not Worn"
"Female","039","Unknown","Admitted to Hospital","Not Worn"
"Female","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","041","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Treated at Hospital","Not Worn"
"Male","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","045","Thrown Out","By Private","Not Worn"
"Male","XXX","Thrown Out","Admitted to Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","033","Thrown Out","Admitted to Hospital","Not Worn"
"Male","015","Unknown","Treated at Hospital","Not Worn"
"Male","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","By Private","Not Worn"
"Male","055","Thrown Out","Admitted to Hospital","Not Worn"
"Male","045","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Unknown","By Private","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Female","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Unknown","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Admitted to Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Male","045","Thrown Out","Treated at Hospital","Not Worn"
"Male","067","Thrown Out","Admitted to Hospital","Not Worn"
"Female","011","Unknown","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Admitted to Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","031","Thrown Out","By Private","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Treated at Hospital","Not Worn"
"Male","066","Thrown Out","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","By Private","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","041","Thrown Out","Admitted to Hospital","Not Worn"
"Male","071","Thrown Out","By Private","Not Worn"
"Male","030","Unknown","Admitted to Hospital","Not Worn"
"Male","046","Thrown Out","Fatal","Not Worn"
"Male","054","Thrown Out","Admitted to Hospital","Not Worn"
"Male","065","Thrown Out","Treated at Hospital","Not Worn"
"Female","039","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Unknown","By Private","Not Worn"
"Female","016","Thrown Out","Admitted to Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Female","074","Unknown","Treated at Hospital","Not Worn"
"Female","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","By Private","Not Worn"
"Male","067","Thrown Out","Treated at Hospital","Not Worn"
"Female","028","Thrown Out","By Private","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","050","Unknown","Treated at Hospital","Not Worn"
"Female","035","Unknown","Treated at Hospital","Not Worn"
"Female","006","Unknown","Admitted to Hospital","Not Worn"
"Male","027","Thrown Out","Treated at Hospital","Not Worn"
"Female","061","Unknown","Admitted to Hospital","Not Worn"
"Female","014","Unknown","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","By Private","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","014","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","084","Unknown","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Fatal","Not Worn"
"Male","031","Thrown Out","Admitted to Hospital","Not Worn"
"Male","053","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","By Private","Not Worn"
"Male","031","Thrown Out","Admitted to Hospital","Not Worn"
"Male","021","Thrown Out","Admitted to Hospital","Not Worn"
"Female","057","Thrown Out","By Private","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","By Private","Not Worn"
"Female","059","Thrown Out","By Private","Not Worn"
"Female","032","Unknown","Admitted to Hospital","Not Worn"
"Male","006","Unknown","Admitted to Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","By Private","Not Worn"
"Male","054","Thrown Out","By Private","Not Worn"
"Male","021","Thrown Out","By Private","Not Worn"
"Female","051","Unknown","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","By Private","Not Worn"
"Female","039","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Admitted to Hospital","Not Worn"
"Female","040","Unknown","Treated at Hospital","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Female","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","039","Unknown","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Fatal","Not Worn"
"Female","037","Unknown","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Fatal","Not Worn"
"Male","027","Thrown Out","Admitted to Hospital","Not Worn"
"Male","043","Thrown Out","Treated at Hospital","Not Worn"
"Male","051","Thrown Out","Treated at Hospital","Not Worn"
"Male","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","By Private","Not Worn"
"Male","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","061","Unknown","By Private","Not Worn"
"Male","045","Thrown Out","By Private","Not Worn"
"Male","050","Thrown Out","Admitted to Hospital","Not Worn"
"Male","062","Thrown Out","Admitted to Hospital","Not Worn"
"Female","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","054","Thrown Out","Admitted to Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Female","085","Unknown","Treated at Hospital","Not Worn"
"Male","062","Unknown","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","038","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Female","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Admitted to Hospital","Not Worn"
"Female","047","Unknown","Fatal","Not Worn"
"Female","025","Unknown","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","Admitted to Hospital","Not Worn"
"Male","036","Thrown Out","By Private","Not Worn"
"Female","044","Thrown Out","By Private","Not Worn"
"Male","046","Thrown Out","Admitted to Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Female","069","Unknown","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Admitted to Hospital","Not Worn"
"Female","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","By Private","Not Worn"
"Male","047","Thrown Out","Admitted to Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","052","Thrown Out","Admitted to Hospital","Not Worn"
"Male","032","Thrown Out","Treated at Hospital","Not Worn"
"Male","034","Thrown Out","Admitted to Hospital","Not Worn"
"Male","047","Thrown Out","By Private","Not Worn"
"Male","XXX","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Treated at Hospital","Not Worn"
"Female","045","Unknown","By Private","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","059","Thrown Out","Admitted to Hospital","Not Worn"
"Male","032","Thrown Out","By Private","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Admitted to Hospital","Not Worn"
"Female","060","Unknown","Treated at Hospital","Not Worn"
"Male","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","014","Thrown Out","Admitted to Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Male","065","Unknown","Admitted to Hospital","Not Worn"
"Female","036","Thrown Out","Admitted to Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Male","021","Unknown","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Admitted to Hospital","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Female","054","Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","062","Thrown Out","Admitted to Hospital","Not Worn"
"Female","061","Thrown Out","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Admitted to Hospital","Not Worn"
"Male","049","Thrown Out","By Private","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Admitted to Hospital","Not Worn"
"Female","027","Unknown","Treated at Hospital","Not Worn"
"Male","012","Thrown Out","By Private","Not Worn"
"Female","060","Thrown Out","By Private","Not Worn"
"Female","034","Thrown Out","Treated at Hospital","Not Worn"
"Male","046","Thrown Out","Treated at Hospital","Not Worn"
"Male","021","Thrown Out","Treated at Hospital","Not Worn"
"Female","039","Thrown Out","Treated at Hospital","Not Worn"
"Female","041","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","045","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Thrown Out","Admitted to Hospital","Not Worn"
"Male","050","Thrown Out","Treated at Hospital","Not Worn"
"Female","010","Unknown","Treated at Hospital","Not Worn"
"Male","063","Thrown Out","Admitted to Hospital","Not Worn"
"Male","002","Unknown","Treated at Hospital","Not Worn"
"Male","064","Thrown Out","Treated at Hospital","Not Worn"
"Male","037","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Unknown","Treated at Hospital","Not Worn"
"Male","027","Unknown","Treated at Hospital","Not Worn"
"Female","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","070","Thrown Out","Fatal","Not Worn"
"Male","073","Thrown Out","Admitted to Hospital","Not Worn"
"Female","072","Thrown Out","Admitted to Hospital","Not Worn"
"Male","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Female","020","Thrown Out","Treated at Hospital","Not Worn"
"Female","021","Unknown","Treated at Hospital","Not Worn"
"Male","030","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","015","Thrown Out","Admitted to Hospital","Not Fitted"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Thrown Out","Treated at Hospital","Not Worn"
"Male","049","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Thrown Out","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","By Private","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Unknown","Fatal","Not Worn"
"Female","048","Thrown Out","Treated at Hospital","Not Worn"
"Male","028","Thrown Out","Treated at Hospital","Not Worn"
"Male","023","Thrown Out","Treated at Hospital","Not Worn"
"Female","049","Thrown Out","Treated at Hospital","Not Worn"
"Female","040","Unknown","Treated at Hospital","Not Worn"
"Female","037","Unknown","Treated at Hospital","Not Worn"
"Male","035","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Female","060","Thrown Out","Fatal","Fitted - Not Worn"
"Male","041","Thrown Out","Treated at Hospital","Not Worn"
"Female","029","Thrown Out","Admitted to Hospital","Not Worn"
"Male","060","Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","039","Not Thrown Out","Admitted to Hospital","Fitted - Not Worn"
"Male","031","Thrown Out","Treated at Hospital","Not Worn"
"Male","061","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","By Private","Not Worn"
"Male","010","Thrown Out","By Private","Not Worn"
"Unknown","XXX","Unknown","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","By Private","Not Worn"
"Male","073","Thrown Out","Admitted to Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Female","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","038","Thrown Out","Admitted to Hospital","Not Worn"
"Male","033","Thrown Out","Treated at Hospital","Not Worn"
"Male","006","Unknown","Admitted to Hospital","Not Worn"
"Male","024","Thrown Out","By Private","Not Worn"
"Male","068","Unknown","By Private","Not Worn"
"Male","037","Thrown Out","Fatal","Not Worn"
"Male","012","Thrown Out","Treated at Hospital","Not Worn"
"Male","XXX","Thrown Out","By Private","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Unknown","By Private","Not Worn"
"Female","023","Thrown Out","Treated at Hospital","Not Worn"
"Female","028","Thrown Out","By Private","Not Worn"
"Female","055","Unknown","Treated at Hospital","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","042","Thrown Out","Admitted to Hospital","Not Worn"
"Female","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","061","Thrown Out","Admitted to Hospital","Not Worn"
"Male","031","Unknown","Treated at Hospital","Not Worn"
"Male","091","Unknown","Treated at Hospital","Not Worn"
"Male","066","Thrown Out","Fatal","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","012","Unknown","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","063","Not Thrown Out","Treated at Hospital","Not Worn"
"Male","048","Thrown Out","Admitted to Hospital","Not Worn"
"Male","058","Thrown Out","By Private","Not Worn"
"Male","034","Unknown","By Private","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Female","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","046","Thrown Out","Admitted to Hospital","Not Worn"
"Male","048","Thrown Out","Treated at Hospital","Not Worn"
"Female","040","Thrown Out","Treated at Hospital","Not Worn"
"Female","031","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Female","027","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","028","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Female","025","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","070","Unknown","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","055","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Thrown Out","Treated at Hospital","Not Worn"
"Male","054","Thrown Out","Treated at Hospital","Not Worn"
"Male","085","Unknown","Treated at Hospital","Not Worn"
"Male","033","Thrown Out","Treated at Hospital","Not Worn"
"Female","079","Unknown","Treated at Hospital","Not Worn"
"Female","017","Unknown","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","Admitted to Hospital","Not Worn"
"Male","068","Thrown Out","Admitted to Hospital","Not Worn"
"Male","037","Thrown Out","By Private","Not Worn"
"Female","022","Thrown Out","By Private","Not Worn"
"Male","060","Unknown","Admitted to Hospital","Not Worn"
"Male","020","Thrown Out","By Private","Not Worn"
"Male","086","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","025","Thrown Out","Treated at Hospital","Not Worn"
"Female","026","Thrown Out","Treated at Hospital","Not Worn"
"Male","024","Thrown Out","Admitted to Hospital","Not Worn"
"Male","018","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Treated at Hospital","Not Worn"
"Female","017","Unknown","Treated at Hospital","Not Worn"
"Male","083","Unknown","Treated at Hospital","Not Worn"
"Female","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Unknown","Treated at Hospital","Not Worn"
"Female","059","Thrown Out","Admitted to Hospital","Not Worn"
"Female","024","Thrown Out","Admitted to Hospital","Not Worn"
"Male","052","Unknown","By Private","Not Worn"
"Male","042","Thrown Out","Admitted to Hospital","Not Worn"
"Male","018","Thrown Out","Admitted to Hospital","Not Worn"
"Female","052","Thrown Out","Admitted to Hospital","Not Worn"
"Male","032","Thrown Out","Admitted to Hospital","Not Worn"
"Female","043","Unknown","By Private","Not Worn"
"Male","061","Thrown Out","Treated at Hospital","Not Worn"
"Female","028","Not Thrown Out","Treated at Hospital","Fitted - Not Worn"
"Male","069","Thrown Out","Admitted to Hospital","Not Worn"
"Male","070","Thrown Out","Admitted to Hospital","Not Worn"
"Male","048","Thrown Out","Admitted to Hospital","Not Worn"
"Female","069","Unknown","Treated at Hospital","Not Worn"
"Male","014","Thrown Out","Admitted to Hospital","Not Worn"
"Female","022","Unknown","Admitted to Hospital","Not Worn"
"Male","029","Unknown","Treated at Hospital","Not Worn"
"Male","092","Thrown Out","Treated at Hospital","Not Worn"
"Male","035","Not Thrown Out","Fatal","Fitted - Not Worn"
"Male","024","Thrown Out","Treated at Hospital","Not Worn"
"Male","044","Thrown Out","By Private","Not Worn"
"Male","068","Thrown Out","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","Treated at Hospital","Not Worn"
"Male","036","Thrown Out","Treated at Hospital","Not Worn"
"Male","065","Thrown Out","Treated at Hospital","Not Worn"
"Female","068","Thrown Out","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Admitted to Hospital","Not Worn"
"Male","046","Thrown Out","Treated at Hospital","Not Worn"
"Male","020","Thrown Out","Treated at Hospital","Not Worn"
"Male","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","062","Thrown Out","Treated at Hospital","Not Worn"
"Male","031","Thrown Out","Treated at Hospital","Not Worn"
"Female","056","Unknown","Treated at Hospital","Not Worn"
"Male","019","Thrown Out","Treated at Hospital","Not Worn"
